Customer_ID,Name,Gender,Age,Phone,Email,City,Customer_Age_Segment
CU0001,Jill Snyder,Male,49,5271706357,timothy92@yahoo.com,Juliabury,Mature Adult
CU0002,Nicholas Foster,Male,23,3249599856281,cochrancarlos@berry.info,Wrightport,Young Adult
CU0003,Courtney Robbins,Male,60,4614286407,donna01@yahoo.com,Lake Zacharyburgh,Mature Adult
CU0004,Blake Barry,Male,67,1193401448571,sandra08@yahoo.com,Ramirezburgh,Senior Citizen
CU0005,Claudia Hardin,Female,31,5146842974378,caitlindavis@bradley.org,Lake Tamara,Adult
CU0006,Scott Wilson,Female,52,356146555678074,pamela97@smith.net,East Amberland,Mature Adult
CU0007,Michael Johnson,Male,58,272146668612407,rjones@bates.com,Holmesport,Mature Adult
CU0008,Michelle Davis,Female,28,612252031,dwilson@schmidtcarter.com,New Robin,Young Adult
CU0009,Sara Mack,Male,29,558988969489389,ybailey@yahoo.com,East Brian,Young Adult
CU0010,Ashley Butler,Female,30,8746368430,williamestes@gmail.com,North Marciamouth,Young Adult
CU0011,Charles Sullivan,Male,65,17669526723886,fward@pierce.com,South Adam,Senior Citizen
CU0012,Tiffany Thompson,Male,30,7124538481,lindseychad@mckinneycole.com,Port Ronaldberg,Young Adult
CU0013,Juan Blackwell,Male,23,7553482919,dguerrero@gmail.com,North Jessica,Young Adult
CU0014,Todd Taylor,Female,53,19941768255022,rodriguezangela@millsnavarro.net,New Susantown,Mature Adult
CU0015,Brooke Bennett,Male,23,4776554719,marvin28@hotmail.com,East Jack,Young Adult
CU0016,Bobby Rodriguez,Female,68,6738343904,torresallen@evans.org,South Alisha,Senior Citizen
CU0017,Patricia French,Female,60,4278324332,sheila92@gmail.com,Carlsonmouth,Mature Adult
CU0018,Nancy Reed,Male,25,7280037525065,jenningsfelicia@hotmail.com,Morrisonton,Young Adult
CU0019,Timothy Valenzuela,Female,42,79601362431680,jenkinsmicheal@hotmail.com,Rebekahside,Mature Adult
CU0020,Gregory Carter,Male,35,7901634961801,clayamanda@evans.com,East Stephaniebury,Adult
CU0021,Diane Glenn,Male,32,8768989784,bergrenee@lamb.com,Williamtown,Adult
CU0022,Jasmine Dion,Male,58,13792069761554,sjefferson@gmail.com,South Ethanborough,Mature Adult
CU0023,Anna Reynolds,Female,25,2936204537821,emilyfry@yahoo.com,Benjaminshire,Young Adult
